check_id,real_root_id,extension_degree_id,extension_beta_c1,extension_beta_c2,extension_beta_c3,pairing,serre_exponent,terminal_beta_c1,terminal_beta_c2,terminal_beta_c3,terminal_gamma_n,terminal_gamma_l,terminal_gamma_m,terminal_height,terminal_norm,terminal_signed_dimension,terminal_in_base,relation_payload_status,proof_reference,check_status,notes
dlrsse_delta_1_beta_1_7_7,delta_1,beta_1_7_7,1,7,7,-26,27,28,7,7,28,28,7,42,0,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_7_0_7,delta_2,beta_7_0_7,7,0,7,-28,29,7,29,7,7,29,29,43,58,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_0_7_7,delta_1,beta_0_7_7,0,7,7,-28,29,29,7,7,29,29,7,43,58,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_7_1_8,delta_2,beta_7_1_8,7,1,8,-28,29,7,30,8,7,29,30,45,2,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_8_1_7,delta_2,beta_8_1_7,8,1,7,-28,29,8,30,7,8,31,30,45,2,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_1_7_8,delta_1,beta_1_7_8,1,7,8,-28,29,30,7,8,30,29,7,45,2,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_1_8_7,delta_1,beta_1_8_7,1,8,7,-28,29,30,8,7,30,31,8,45,2,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_7_0_8,delta_2,beta_7_0_8,7,0,8,-30,31,7,31,8,7,30,31,46,64,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_2_beta_8_0_7,delta_2,beta_8_0_7,8,0,7,-30,31,8,31,7,8,32,31,46,64,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
dlrsse_delta_1_beta_0_7_8,delta_1,beta_0_7_8,0,7,8,-30,31,31,7,8,31,30,7,46,64,0,false,terminal_codomains_missing_from_W469,compute/verify_wrel_degree_closure_fixture.py terminal_layer_saturation_real_string_defect_layer_real_string_saturation_extension_real_string_expected_obligations,verified,real-string terminal forced by promoting a 50-row saturation-extension degree; target-degree audit only
